municipality;site;pt_locality;date;time;temperature_C;wind_m/s;precipitation ;method;color;species;sex;caste;ID;identifyed_by;captured_by;taxonomy;state;periode;netting_group;trap_ID;site_ID;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. pratorum;f;worker;73;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. jonellus;f;worker ;74;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;complex;f;worker ;75;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
austrheim;lerøysundet;NA;14/06/2022;12:00;13,60;2,70;0;net;NA;B. pratorum;f;worker ;76;zazzera;zazzera;bombus;overgrown;first;B;H7;4;;;;;;;;;
alver;byngja;;06/06/2022;10:00;NA;NA;NA;PT ;B;complex;f;queen;77;halvorsen;zazzera;bombus;open;first;NA;P1;2;;;;;;;;;
alver;byngja;;06/06/2022;10:00;NA;NA;NA;PT ;B;B. pascuorum;f;worker ;78;halvorsen;zazzera;bombus;open;first;NA;P1;2;;;;;;;;;
austrheim;lerøysundet;;17/06/2022;11:00;NA;NA;NA;PT ;B;B. campestris;f;queen;79;halvorsen;zazzera;bombus;overgrown;first;NA;P11;4;;;;;;;;;
alver;byngja;NA;08/06/2022;09:00;16,50;3,30;0;net;NA;complex;f;worker;80;zazzera;zazzera;bombus;open;first;B;H3;2;;;;;;;;;
alver;byngja;NA;08/06/2022;09:00;16,50;3,30;0;net;NA;B. pratorum;f;worker;81;zazzera;zazzera;bombus;open;first;B;H3;2;;;;;;;;;
alver;byngja;NA;08/06/2022;09:00;16,50;3,30;0;net;NA;complex;f;worker;82;zazzera;zazzera;bombus;open;first;B;H3;2;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;B. hypnorum;f;queen;83;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;complex;f;worker;84;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;B. pratorum;f;worker;85;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;complex;f;queen;86;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;B. jonellus;f;queen;87;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;B. pratorum;f;worker;88;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;B. jonellus;f;worker;89;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;B. pascuorum;f;worker;90;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
austrheim;lerøysundet;NA;08/06/2022;13:00;15,70;4,70;0;net;NA;B. pratorum;f;worker;91;zazzera;zazzera;bombus;overgrown;first;B;H5;4;;;;;;;;;
alver;syltneset ;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. hypnorum;f;worker;92;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset ;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. pratorum;f;worker ;94;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. campestris;f;queen;95;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. pratorum;f;worker;96;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. jonellus;f;worker;97;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. jonellus;f;worker;98;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. pratorum;f;worker;99;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. pratorum;f;worker;100;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. soroeensis;f;worker;101;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. jonellus;f;worker;102;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
alver;syltneset;NA;08/06/2022;11:00;16,50;3,20;0;net;NA;B. jonellus;f;worker;103;zazzera;zazzera;bombus;overgrown;first;B;H4;5;;;;;;;;;
austrheim;utkilen;1;17/06/2022;14:00;NA;NA;NA;PT;W;complex;f;queen;104;zazzera;zazzera;bombus;overgrown;first;NA;P13;6;;;;;;;;;
austrheim;utkilen;2;10/06/2022;17:00;NA;NA;NA;PT;B;complex;f;worker;105;zazzera;zazzera;bombus;overgrown;first;NA;P6;6;;;;;;;;;
austrheim;lerøysundet;1;17/06/2022;11:00;NA;NA;NA;PT;Y;B. jonellus;f;worker;106;zazzera;zazzera;bombus;overgrown;first;NA;P11;4;;;;;;;;;
austrheim;utkilen;NA;09/06/2022;09:00;12,00;1,40;0;net;NA;B. pratorum;f;worker;107;zazzera;zazzera;bombus;overgrown;first;A;H5;6;;;;;;;;;
